Update:,2015-02-21 00:07:41 +0900
緑Lv,黄Lv,赤Lv,楽曲名,BSC,BR,ADV,AR,EXT,ER
4,9,10,DIAVOLO,0,N,940953,S,909204,S
3,6,8,DNA狂詩曲,0,N,0,N,0,N
2,5,8,Take Your Way,0,N,0,N,0,N
2,5,8,this storyends,0,N,0,N,0,N
2,5,9,THIS NIGHT (jubeat EDITION),0,N,0,N,977718,SS
3,7,8,Determination,0,N,0,N,0,N
4,9,10,December Breeze,0,N,0,N,880102,A
3,6,8,Daydream caf,0,N,0,N,999475,SSS
5,9,10,Daily Lunch Special,0,N,987894,SSS,956061,SS
5,8,10,Timberwolves,0,N,0,N,904213,S
4,7,9,デッドボヲルdeホームラン,0,N,0,N,921414,S
5,7,10,Devil Fish Dumpling,0,N,0,N,957516,SS
3,8,9,天国と地獄,0,N,0,N,803040,B
4,7,10,天国と地獄,0,N,0,N,901663,S
4,7,8,天上の果て,0,N,0,N,0,N
3,6,9,でんでんぱっしょん,0,N,0,N,972253,SS
3,8,10,"10,000,000,000",0,N,0,N,950286,SS
3,7,9,TWINKLE HEART,0,N,0,N,960608,SS
4,6,8,Twinkle Wonderland,0,N,0,N,0,N
4,9,10,True Blue,0,N,936153,S,918289,S
3,7,9,TRUE LOVE,0,N,0,N,810747,B
5,9,10,ドーパミン,0,N,0,N,879537,A
4,8,10,Thor's Hammer,0,N,0,N,929332,S
3,6,8,都会征服Girls☆,0,N,0,N,984602,SSS
1,6,7,とってもとっても、ありがとう。,0,N,0,N,0,N
4,7,10,轟け！恋のビーンボール！！,0,N,0,N,977013,SS
2,6,8,となりのトトロ feat.sayurina,0,N,0,N,0,N
3,6,8,とまどい→レシピ,0,N,0,N,0,N
3,7,10,DRAGON KILLER,0,N,0,N,954714,SS
4,7,9,Dragontail Butterfly,0,N,0,N,0,N
2,5,8,Dragon Night,0,N,0,N,980470,SSS
5,9,10,Dragon Blade,0,N,0,N,890010,A
2,5,8,ドリームキャッチャー,0,N,0,N,0,N
2,4,7,ドリームメイカー,0,N,0,N,0,N
4,7,10,トリカゴノ鳳凰,0,N,0,N,978236,SS
4,9,9,Triple Journey -S-C-U EDITION-,0,N,0,N,919443,S
4,7,10,トルコ行進曲,792837,C,0,N,953094,SS
3,6,8,Don't stop the music,0,N,0,N,0,N
2,5,8,Dong! Dong!,0,N,0,N,0,N
4,7,9,NIGHT FLIGHT,0,N,0,N,0,N
5,9,10,IX,0,N,0,N,900163,S
6,8,10,†渚の小悪魔ラヴリィ～レイディオ†,0,N,0,N,929131,S
2,6,8,夏祭り,0,N,844324,B,523869,D
5,7,9,ナナホシ,0,N,898597,A,928401,S
4,7,9,虹色の花,0,N,0,N,0,N
3,7,9,New Gravity,0,N,0,N,0,N
4,6,7,newsong,0,N,0,N,0,N
4,8,10,New Decade,0,N,0,N,956505,SS
3,4,7,にんげんっていいな,0,N,0,N,0,N
1,5,8,にんじゃりばんばん,0,N,0,N,989836,SSS
3,7,10,猫侍の逆襲,0,N,0,N,957327,SS
5,8,10,Never Look Back in Sorrow,0,N,0,N,835898,B
5,8,10,neu,0,N,0,N,906321,S
4,7,8,"NO WAVE≒斜陽\""",0,N,0,N,0,N
3,7,8,"No pain, No game",0,N,0,N,0,N
